protocol,ablation,seed,target_path,expected_direction,first_post_trial,first_post_tick,target_prob,target_prob_wins,target_choice,target_local_bonus,mode,gate_trigger,h_risk,h_opp,q_neg,q_pos,safe_drive,one_shot_type
shock,novg,46,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,47,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,48,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,49,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,50,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,51,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,52,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,53,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,54,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,55,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,56,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,57,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,58,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25755095525813965,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,59,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.2576958654363065,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,60,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,61,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.26034555993714104,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,62,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,63,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,64,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,65,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,66,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,67,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,68,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,69,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,70,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,71,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,72,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754970872048005,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,73,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,74,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,75,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,76,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,77,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,78,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,79,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,80,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,81,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,82,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,83,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,84,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,85,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,86,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,87,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.2575528327592041,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,88,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,89,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,90,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754993698077844,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,91,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novp,42,open,negative,31,2,0.4663011645670992,False,True,0.0,explore,standard_arbitration (high uncertainty),0.3102650037574794,0.2791096387635591,1.3719999999999999,0.0,0.36410600150299177,none
shock,novp,43,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.28617331019944253,0.2791086784931042,1.3719999999999999,0.0,0.354469324079777,none
shock,novp,44,open,negative,31,2,0.4663011645670992,False,True,0.0,explore,standard_arbitration (high uncertainty),0.28697914098339594,0.27980964734285824,1.3719999999999999,0.0,0.35479165639335836,none
shock,novp,45,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.29398338998686746,0.2794283397787376,1.3719999999999999,0.0,0.35759335599474695,none
shock,novp,46,open,negative,31,2,0.4663011645670992,False,True,0.0,explore,standard_arbitration (high uncertainty),0.3054780772139492,0.2780169982870883,1.3719999999999999,0.0,0.3621912308855797,none
shock,novp,47,open,negative,31,2,0.4663011645670992,False,True,0.0,explore,standard_arbitration (high uncertainty),0.3002076627741936,0.27725067152106353,1.3719999999999999,0.0,0.3600830651096774,none
shock,novp,48,open,negative,31,2,0.4663011645670992,False,True,0.0,explore,standard_arbitration (high uncertainty),0.31581958390887355,0.27863071983782706,1.3719999999999999,0.0,0.3663278335635494,none
shock,novp,49,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.3015307715553131,0.2779192479819448,1.3719999999999999,0.0,0.36061230862212523,none
shock,novp,50,open,negative,31,2,0.4663011645670992,False,True,0.0,explore,standard_arbitration (high uncertainty),0.2937950150043237,0.2782349068989082,1.3719999999999999,0.0,0.35751800600172945,none
shock,novp,51,open,negative,31,2,0.4663011645670992,False,True,0.0,explore,standard_arbitration (high uncertainty),0.3034267615142059,0.2773652920285188,1.3719999999999999,0.0,0.3613707046056823,none
shock,novp,52,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.297872756474136,0.27896849001059915,1.3719999999999999,0.0,0.3591491025896544,none
shock,novp,53,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.2904081535204309,0.2796865547418874,1.3719999999999999,0.0,0.35616326140817234,none
shock,novp,54,open,negative,31,2,0.4663011645670992,False,True,0.0,explore,standard_arbitration (high uncertainty),0.2911019015494602,0.2791890716903955,1.3719999999999999,0.0,0.3564407606197841,none
shock,novp,55,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.29722025362240523,0.27845651489845996,1.3719999999999999,0.0,0.3588881014489621,none
shock,novp,56,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.30885916850443423,0.2782088166110386,1.3719999999999999,0.0,0.3635436674017737,none
shock,novp,57,open,negative,31,2,0.4663011645670992,False,True,0.0,explore,standard_arbitration (high uncertainty),0.2907542872292867,0.2789767794901349,1.3719999999999999,0.0,0.3563017148917147,none
shock,novp,58,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.2932286514713886,0.2794466008459507,1.3719999999999999,0.0,0.35729146058855543,none
